appid,genres
13540,Action
13560,Action
13570,Action
13580,Action
13600,Action
13600,Adventure
13620,Action
13630,Action
15000,Action
15080,Action
15080,Adventure
15100,Action
15100,Adventure
15120,Action
15160,Simulation
15170,Strategy
15190,Action
15200,Simulation
15210,Simulation
15240,Simulation
15300,Action
15320,Simulation
15350,Casual
15370,Strategy
15380,Strategy
15390,Action
15400,Indie
15400,Strategy
15500,Casual
15500,Indie
15520,Action
15520,Indie
15520,Sports
15560,Action
15560,Indie
15560,Sports
15620,Strategy
15700,Adventure
15710,Adventure
15740,Action
15740,Adventure
15740,Strategy
15750,Action
15750,Adventure
15750,Strategy
15800,Casual
15800,Indie
15900,Casual
15910,Casual
15920,Casual
15930,Casual
15960,Casual
15970,Casual
16000,Casual
16020,Casual
16030,Casual
16040,Casual
16060,Casual
16100,Casual
16100,Simulation
16110,Casual
16110,Simulation
16120,Casual
16120,Simulation
16130,Casual
16130,Simulation
16180,Casual
16180,Simulation
16200,Casual
16200,Simulation
16300,Casual
16300,Indie
16450,Action
16500,Casual
16500,Indie
16600,Indie
16600,Racing
16600,Sports
16620,Indie
16620,Racing
16620,Sports
16710,Action
16710,Adventure
16720,Action
16730,Action
16810,Strategy
16900,Action
16900,Indie
16900,Simulation
17100,Simulation
17100,Strategy
17120,Simulation
17120,Strategy
17140,RPG
17140,Strategy
17180,Strategy
17330,Action
17390,Action
17390,Adventure
17390,Casual
17390,RPG
17390,Simulation
17390,Strategy
17410,Action
17410,Adventure
17440,Simulation
17460,Action
17460,RPG
17470,Action
17470,Adventure
17480,Action
17480,Strategy
17500,Action
17500,Adventure
17500,Casual
17500,Free To Play
17500,Indie
17570,Action
17570,Free To Play
17570,Indie
17580,Action
17580,Free To Play
17580,Indie
17710,Action
17710,Strategy
17740,Action
17740,Free To Play
17740,Strategy
18000,Adventure
18000,RPG
18020,Adventure
18020,RPG
18040,Action
18040,Indie
18040,RPG
18050,Action
18050,Indie
18050,RPG
18070,Action
18070,Adventure
18070,RPG
18120,Action
18120,Casual
18120,Indie
18120,Strategy
