appid,name,type,is_free,price_currency,price_initial,price_final,price_discount_pct,price_initial_fmt,price_final_fmt,release_date,release_date_fmt,recommendations,last_seen_players,appid_amount,refresh_count
2800,X2: The Threat,game,False,USD,499,499,0,$4.99,$4.99,"Jul 21, 2006",2006-07-21,441,16,2800_2,1
2810,X3: Reunion,game,False,USD,999,999,0,$9.99,$9.99,"Jul 21, 2006",2006-07-21,592,15,2810_2,1
2820,X3: Terran Conflict,game,False,USD,1599,1599,0,$15.99,$15.99,"Oct 16, 2008",2008-10-16,2089,57,2820_2,1
2870,X Rebirth,game,False,USD,2999,2999,0,$29.99,$29.99,"Nov 15, 2013",2013-11-15,5155,18,2870_2,1
2990,FlatOut 2,game,False,USD,999,999,0,$9.99,$9.99,"Dec 21, 2006",2006-12-21,19411,228,2990_2,1
3020,Call of Juarez,game,False,USD,999,199,80,$9.99,$1.99,"Nov 8, 2007",2007-11-08,3713,21,3020_2,1
3170,King's Bounty: Armored Princess,game,False,USD,999,999,0,$9.99,$9.99,"Nov 19, 2009",2009-11-19,1139,146,3170_2,1
3300,Bejeweled 2 Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,715,46,3300_2,1
3310,Chuzzle Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,1464,62,3310_2,1
3320,Insaniquarium Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,6383,47,3320_2,1
3330,Zuma Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,6461,674,3330_2,1
3330,Zuma Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,6461,674,3330_3,1
3380,Dynomite Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,396,29,3380_2,1
3390,Feeding Frenzy 2 Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,2483,13,3390_2,1
3450,Typer Shark! Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 30, 2006",2006-08-30,440,13,3450_2,1
3480,Peggle Deluxe,game,False,USD,499,499,0,$4.99,$4.99,"Mar 6, 2007",2007-03-06,12564,237,3480_2,1
3540,Peggle™ Nights,game,False,USD,499,499,0,$4.99,$4.99,"Oct 15, 2008",2008-10-15,3013,97,3540_2,1
3560,Bejeweled Twist,game,False,USD,499,499,0,$4.99,$4.99,"Nov 18, 2008",2008-11-18,596,12,3560_2,1
3590,Plants vs. Zombies GOTY Edition,game,False,USD,499,499,0,$4.99,$4.99,"May 5, 2009",2009-05-05,143200,1908,3590_2,1
3590,Plants vs. Zombies GOTY Edition,game,False,USD,499,499,0,$4.99,$4.99,"May 5, 2009",2009-05-05,143200,1908,3590_3,1
3620,Zuma's Revenge!,game,False,USD,499,499,0,$4.99,$4.99,"Sep 15, 2009",2009-09-15,3140,233,3620_2,1
3700,Sniper Elite,game,False,USD,799,799,0,$7.99,$7.99,"Jul 16, 2009",2009-07-16,3557,17,3700_2,1
3720,Evil Genius,game,False,USD,999,99,90,$9.99,$0.99,"Jun 22, 2009",2009-06-22,3052,24,3720_2,1
3830,Psychonauts,game,False,USD,999,999,0,$9.99,$9.99,"Oct 11, 2006",2006-10-11,12303,98,3830_2,1
3900,Sid Meier's Civilization® IV,game,False,USD,1999,399,80,$19.99,$3.99,"Oct 25, 2006",2006-10-25,2776,784,3900_2,1
3900,Sid Meier's Civilization® IV,game,False,USD,1999,399,80,$19.99,$3.99,"Oct 25, 2006",2006-10-25,2776,782,3900_3,1
3910,Sid Meier's Civilization® III Complete,game,False,USD,499,399,20,$4.99,$3.99,"Oct 25, 2006",2006-10-25,5706,1778,3910_2,1
3910,Sid Meier's Civilization® III Complete,game,False,USD,499,399,20,$4.99,$3.99,"Oct 25, 2006",2006-10-25,5706,1778,3910_3,1
3920,Sid Meier's Pirates!,game,False,USD,999,999,0,$9.99,$9.99,"Jul 11, 2005",2005-07-11,6186,106,3920_2,1
3980,CivCity: Rome,game,False,USD,999,999,0,$9.99,$9.99,"Apr 6, 2007",2007-04-06,813,13,3980_2,1
3990,Civilization IV®: Warlords,game,False,USD,499,499,0,$4.99,$4.99,"Apr 6, 2007",2007-04-06,403,192,3990_2,1
4000,Garry's Mod,game,False,USD,999,499,50,$9.99,$4.99,"Nov 29, 2006",2006-11-29,1090809,30252,4000_2,1
4000,Garry's Mod,game,False,USD,999,499,50,$9.99,$4.99,"Nov 29, 2006",2006-11-29,1090817,30252,4000_3,1
4560,Company of Heroes - Legacy Edition,game,False,USD,3699,3699,0,$36.99,$36.99,"Jul 17, 2007",2007-07-17,4830,76,4560_2,1
4570,"Warhammer 40,000: Dawn of War - Anniversary Edition (Classic)",game,False,USD,1499,1499,0,$14.99,$14.99,"Aug 7, 2007",2007-08-07,8804,59,4570_2,1
4700,Total War: MEDIEVAL II – Definitive Edition,game,False,USD,1999,1999,0,$19.99,$19.99,"Nov 15, 2006",2006-11-15,27251,4609,4700_2,1
4700,Total War: MEDIEVAL II – Definitive Edition,game,False,USD,1999,1999,0,$19.99,$19.99,"Nov 15, 2006",2006-11-15,27251,4609,4700_3,1
4770,Rome: Total War™ - Alexander,game,False,,,,,,,"Aug 28, 2007",2007-08-28,799,21,4770_2,1
4850,Cossacks: Back to War,game,False,USD,499,499,0,$4.99,$4.99,"Sep 2, 2010",2010-09-02,2656,260,4850_2,1
4870,Cossacks: Art of War,game,False,USD,499,499,0,$4.99,$4.99,"Aug 26, 2011",2011-08-26,330,21,4870_2,1
4880,Cossacks: European Wars,game,False,USD,499,499,0,$4.99,$4.99,"Aug 26, 2011",2011-08-26,537,29,4880_2,1
4890,Cossacks II: Battle for Europe,game,False,USD,499,499,0,$4.99,$4.99,"Aug 26, 2011",2011-08-26,1057,47,4890_2,1
4920,Natural Selection 2,game,False,USD,499,499,0,$4.99,$4.99,"Oct 30, 2012",2012-10-30,8630,96,4920_2,1
6000,STAR WARS™ Republic Commando™,game,False,USD,999,999,0,$9.99,$9.99,"Jul 8, 2009",2009-07-08,14632,36,6000_2,1
6010,Indiana Jones® and the Fate of Atlantis™,game,False,USD,599,599,0,$5.99,$5.99,"Jul 8, 2009",2009-07-08,1385,16,6010_2,1
6020,STAR WARS™ Jedi Knight - Jedi Academy™,game,False,USD,999,999,0,$9.99,$9.99,"Sep 16, 2009",2009-09-16,11282,85,6020_2,1
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,game,False,USD,999,999,0,$9.99,$9.99,"Sep 16, 2009",2009-09-16,4042,21,6030_2,1
6060,"STAR WARS™ Battlefront II (Classic, 2005)",game,False,USD,999,999,0,$9.99,$9.99,"Jul 8, 2009",2009-07-08,46369,166,6060_2,1
6220,FlatOut,game,False,USD,749,749,0,$7.49,$7.49,"Feb 2, 2007",2007-02-02,5849,31,6220_2,1
6510,Lost Planet™: Extreme Condition,game,False,USD,1499,344,77,$14.99,$3.44,"Jun 26, 2007",2007-06-26,1875,16,6510_2,1
6800,Commandos: Behind Enemy Lines,game,False,USD,499,224,55,$4.99,$2.24,"Mar 15, 2007",2007-03-15,3505,91,6800_2,1
6810,Commandos: Beyond the Call of Duty,game,False,USD,499,224,55,$4.99,$2.24,"Mar 15, 2007",2007-03-15,971,31,6810_2,1
6830,Commandos 2: Men of Courage,game,False,USD,499,224,55,$4.99,$2.24,"Mar 15, 2007",2007-03-15,2398,41,6830_2,1
6850,Hitman 2: Silent Assassin,game,False,USD,899,89,90,$8.99,$0.89,"Mar 15, 2007",2007-03-15,3737,27,6850_2,1
6860,Hitman: Blood Money,game,False,USD,999,999,0,$9.99,$9.99,"Mar 15, 2007",2007-03-15,13611,105,6860_2,1
6880,Just Cause,game,False,USD,699,699,0,$6.99,$6.99,"Mar 15, 2007",2007-03-15,4546,12,6880_2,1
6900,Hitman: Codename 47,game,False,USD,799,79,90,$7.99,$0.79,"Mar 15, 2007",2007-03-15,4240,22,6900_2,1
6910,Deus Ex: Game of the Year Edition,game,False,USD,699,699,0,$6.99,$6.99,"Mar 29, 2007",2007-03-29,13723,63,6910_2,1
7000,Tomb Raider: Legend,game,False,USD,699,97,86,$6.99,$0.97,"Mar 29, 2007",2007-03-29,5409,60,7000_2,1
7200,Trackmania United Forever,game,False,USD,2999,2999,0,$29.99,$29.99,"Apr 16, 2008",2008-04-16,2485,117,7200_2,1
7520,Two Worlds II HD,game,False,USD,2499,2499,0,$24.99,$24.99,"Feb 3, 2011",2011-02-03,3873,20,7520_2,1
7530,Two Worlds II Castle Defense,game,False,USD,999,999,0,$9.99,$9.99,"Jun 14, 2011",2011-06-14,307,21,7530_2,1
7600,Sid Meier's Railroads!,game,False,USD,999,999,0,$9.99,$9.99,"May 4, 2007",2007-05-04,2623,79,7600_2,1
7610,Railroad Tycoon 3,game,False,USD,999,999,0,$9.99,$9.99,"May 4, 2007",2007-05-04,1126,53,7610_2,1
7620,Railroad Tycoon II Platinum,game,False,USD,499,499,0,$4.99,$4.99,"May 4, 2007",2007-05-04,1340,113,7620_2,1
7650,X-COM: Terror From the Deep,game,False,USD,499,499,0,$4.99,$4.99,"May 4, 2007",2007-05-04,763,20,7650_2,1
7660,X-COM: Apocalypse,game,False,USD,499,499,0,$4.99,$4.99,"Sep 4, 2008",2008-09-04,844,22,7660_2,1
7670,BioShock™,game,False,USD,1999,1999,0,$19.99,$19.99,"Aug 21, 2007",2007-08-21,25146,77,7670_2,1
7760,X-COM: UFO Defense,game,False,USD,499,499,0,$4.99,$4.99,"Sep 4, 2008",2008-09-04,3199,69,7760_2,1
