appid,categories
11250,Multi-player
11250,Single-player
11250,Steam Trading Cards
11260,Family Sharing
11260,Multi-player
11260,Single-player
11260,Steam Trading Cards
11280,Family Sharing
11280,Multi-player
11280,Online PvP
11280,PvP
11280,Single-player
11280,Steam Trading Cards
11340,Family Sharing
11340,Single-player
11340,Steam Achievements
11370,Family Sharing
11370,Single-player
11390,Family Sharing
11390,Remote Play Together
11390,Single-player
11450,Family Sharing
11450,Partial Controller Support
11450,Single-player
11550,Family Sharing
11550,Single-player
11610,Co-op
11610,MMO
11610,Multi-player
11610,Single-player
12130,Family Sharing
12130,Single-player
12140,Family Sharing
12140,Single-player
12150,Family Sharing
12150,Single-player
12200,Family Sharing
12200,Partial Controller Support
12200,Single-player
12210,Multi-player
12210,Partial Controller Support
12210,Remote Play on Phone
12210,Remote Play on Tablet
12210,Single-player
12220,Multi-player
12220,Single-player
12310,Family Sharing
12310,Single-player
12320,Family Sharing
12320,Single-player
12330,Family Sharing
12330,Single-player
12360,Family Sharing
12360,Full controller support
12360,Single-player
12360,Steam Achievements
12360,Steam Cloud
12360,Steam Trading Cards
12360,Steam Workshop
12364,Family Sharing
12364,Single-player
12390,Family Sharing
12390,Multi-player
12390,Partial Controller Support
12390,Single-player
12420,Family Sharing
12420,Multi-player
12420,Single-player
12430,Family Sharing
12430,Single-player
12440,Family Sharing
12440,Single-player
12450,Family Sharing
12450,Single-player
12460,Family Sharing
12460,Multi-player
12460,Single-player
12470,Family Sharing
12470,Single-player
12480,Family Sharing
12480,Single-player
12500,Family Sharing
12500,Multi-player
12500,Single-player
12500,Steam Cloud
12510,Family Sharing
12510,Single-player
12520,Family Sharing
12520,Single-player
12530,Family Sharing
12530,Single-player
12540,Family Sharing
12540,Single-player
12560,Family Sharing
12560,Single-player
12570,Family Sharing
12570,Single-player
12580,Family Sharing
12580,Single-player
12590,Family Sharing
12590,Multi-player
12590,Single-player
12600,Family Sharing
12600,Single-player
12640,Family Sharing
12640,Single-player
12650,Family Sharing
12650,Single-player
12660,Family Sharing
12660,Single-player
12670,Family Sharing
12670,Single-player
12690,Family Sharing
12690,Single-player
12710,Family Sharing
12710,Partial Controller Support
12710,Single-player
12810,Family Sharing
12810,Single-player
12900,Co-op
12900,Family Sharing
12900,Full controller support
12900,Single-player
12900,Steam Achievements
13000,Family Sharing
13000,Multi-player
13000,Single-player
13000,Steam Achievements
13500,Family Sharing
13500,Single-player
13520,Family Sharing
13520,Single-player
13530,Family Sharing
13530,Partial Controller Support
13530,Single-player
13540,Family Sharing
13540,Multi-player
13540,Single-player
13560,Family Sharing
13560,Single-player
13570,Family Sharing
13570,Single-player
13580,Family Sharing
13580,Single-player
13600,Family Sharing
13600,Single-player
13620,Family Sharing
13620,Multi-player
13620,Single-player
13630,Family Sharing
15000,Family Sharing
15000,Multi-player
15000,Single-player
15080,Family Sharing
15080,Single-player
15100,Family Sharing
15100,Partial Controller Support
15100,Single-player
15120,Co-op
15120,Family Sharing
15120,Multi-player
15120,Single-player
15160,Family Sharing
15160,Single-player
15170,Family Sharing
15170,Single-player
15190,Family Sharing
15190,Single-player
15200,Family Sharing
15200,Multi-player
15200,Single-player
15210,Co-op
15210,Family Sharing
15210,Multi-player
15210,Single-player
15240,Family Sharing
15240,Multi-player
15240,Single-player
15300,Co-op
15300,Family Sharing
15300,Multi-player
15300,Single-player
15320,Co-op
15320,Family Sharing
15320,Includes level editor
15320,LAN Co-op
15320,LAN PvP
15320,Multi-player
15320,PvP
15320,Single-player
15320,Steam Cloud
15350,Co-op
15350,Family Sharing
15350,Multi-player
15350,Single-player
15370,Family Sharing
15370,Single-player
15380,Family Sharing
15380,Single-player
15390,Family Sharing
15390,Single-player
15400,Family Sharing
15400,Single-player
15400,Steam Achievements
15500,Family Sharing
15500,Partial Controller Support
15500,Single-player
15500,Steam Achievements
15520,Family Sharing
15520,Single-player
15520,Steam Achievements
15520,Steam Leaderboards
15560,Family Sharing
15560,Full controller support
15560,Single-player
15560,Steam Achievements
15560,Steam Leaderboards
15620,Co-op
15620,Family Sharing
15620,Multi-player
15620,Single-player
15620,Steam Cloud
15620,Steam Trading Cards
15700,Family Sharing
15700,Single-player
15700,Steam Trading Cards
15710,Family Sharing
15710,Single-player
15740,Family Sharing
15740,Partial Controller Support
15740,Single-player
15740,Steam Achievements
15740,Steam Trading Cards
15750,Family Sharing
15750,Single-player
15750,Steam Achievements
15800,Family Sharing
15800,Partial Controller Support
15800,Single-player
15800,Steam Achievements
15900,Family Sharing
15900,Single-player
15910,Family Sharing
15910,Single-player
15920,Family Sharing
15920,Single-player
15930,Family Sharing
15930,Single-player
15960,Family Sharing
15960,Single-player
15970,Family Sharing
15970,Single-player
16000,Family Sharing
16000,Single-player
16020,Family Sharing
16020,Single-player
16030,Family Sharing
16030,Single-player
16040,Family Sharing
16040,Single-player
16060,Family Sharing
16060,Single-player
16100,Family Sharing
16100,Single-player
16110,Family Sharing
16110,Single-player
16120,Family Sharing
16120,Single-player
16130,Family Sharing
16130,Single-player
16180,Family Sharing
16180,Single-player
16200,Family Sharing
16200,Single-player
16300,Family Sharing
16300,Partial Controller Support
16300,Single-player
16450,Family Sharing
16450,Multi-player
16450,Single-player
16500,Family Sharing
16500,Single-player
16500,Steam Achievements
16600,Family Sharing
16600,Multi-player
16600,Single-player
16600,Steam Achievements
16620,Family Sharing
16620,Single-player
16710,Family Sharing
16710,Single-player
16720,Family Sharing
16720,Partial Controller Support
16720,Single-player
16730,Family Sharing
16730,Single-player
16810,Family Sharing
16810,Multi-player
16810,Single-player
16900,Co-op
16900,Family Sharing
16900,Multi-player
16900,Online Co-op
16900,Online PvP
16900,Partial Controller Support
16900,PvP
16900,Single-player
16900,Steam Workshop
17100,Family Sharing
17100,Single-player
17100,Steam Achievements
17120,Family Sharing
17120,Single-player
17120,Steam Achievements
17140,Family Sharing
17140,Single-player
17140,Steam Achievements
17180,Family Sharing
17180,Single-player
17180,Steam Achievements
17330,Family Sharing
17330,Single-player
17390,Family Sharing
17390,Single-player
17390,Steam Trading Cards
17410,Family Sharing
17410,Full controller support
17410,Remote Play on TV
17410,Single-player
17410,Steam Trading Cards
17440,Family Sharing
17440,Single-player
17460,Family Sharing
17460,Single-player
17470,Family Sharing
17470,Full controller support
17470,Remote Play on Phone
17470,Remote Play on TV
17470,Remote Play on Tablet
17470,Single-player
17470,Steam Trading Cards
17480,Family Sharing
17480,Includes level editor
17480,Single-player
17480,Steam Cloud
17480,Steam Workshop
17500,Camera Comfort
17500,Co-op
17500,Family Sharing
17500,Includes Source SDK
17500,Includes level editor
17500,Mods
17500,Mods (require HL2)
17500,Multi-player
17500,Online Co-op
17500,Online PvP
17500,Playable without Timed Input
17500,PvP
17500,Steam Achievements
17500,Steam Cloud
17500,Steam Workshop
17500,Stereo Sound
17500,Surround Sound
17500,Valve Anti-Cheat enabled
17570,Cross-Platform Multiplayer
17570,Family Sharing
17570,Includes Source SDK
17570,Includes level editor
17570,Mods
17570,Multi-player
17570,Online PvP
17570,PvP
17570,Stats
17570,Steam Achievements
17570,Steam Cloud
17570,Steam Workshop
17570,Valve Anti-Cheat enabled
17580,Family Sharing
17580,HDR available
17580,Includes level editor
17580,Mods (require HL2)
17580,Multi-player
17580,Online PvP
17580,PvP
17580,Shared/Split Screen
17580,Shared/Split Screen PvP
17580,Stats
17580,Steam Achievements
17580,Steam Cloud
17710,Cross-Platform Multiplayer
17710,Family Sharing
17710,Includes level editor
17710,LAN PvP
17710,Multi-player
17710,Online PvP
17710,Partial Controller Support
17710,PvP
17710,Stats
17710,Steam Achievements
17710,Steam Cloud
17710,Steam Trading Cards
17710,Steam Workshop
17710,Valve Anti-Cheat enabled
17740,Cross-Platform Multiplayer
17740,Family Sharing
17740,Includes Source SDK
17740,Includes level editor
17740,LAN PvP
17740,Multi-player
17740,Online PvP
17740,PvP
17740,Steam Achievements
17740,Steam Cloud
18000,Family Sharing
18000,Single-player
18000,Steam Achievements
18020,Family Sharing
18020,Single-player
18020,Steam Achievements
18040,Family Sharing
18040,Multi-player
18040,Partial Controller Support
18040,Remote Play Together
18040,Shared/Split Screen
18040,Single-player
18040,Steam Achievements
18040,Steam Cloud
18040,Steam Leaderboards
18050,Family Sharing
18050,Multi-player
18050,Partial Controller Support
18050,Remote Play Together
18050,Shared/Split Screen
18050,Single-player
18050,Steam Achievements
18050,Steam Cloud
18050,Steam Leaderboards
18070,Family Sharing
18070,Multi-player
18070,Partial Controller Support
18070,Remote Play Together
18070,Shared/Split Screen
18070,Single-player
18070,Steam Achievements
18070,Steam Cloud
18070,Steam Leaderboards
18120,Family Sharing
18120,Single-player
18120,Steam Achievements
18120,Steam Cloud
18120,Steam Leaderboards
18300,Family Sharing
18300,Partial Controller Support
18300,Single-player
18300,Steam Achievements
18300,Steam Trading Cards
18400,Family Sharing
18400,Single-player
18400,Steam Trading Cards
18420,Family Sharing
18420,Single-player
18430,Family Sharing
18430,Single-player
18470,Family Sharing
18470,Single-player
18480,Family Sharing
18480,Single-player
18500,Family Sharing
18500,Full controller support
18500,Remote Play on TV
18500,Single-player
18500,Steam Achievements
18500,Steam Trading Cards
18600,Family Sharing
18600,LAN PvP
18600,Multi-player
18600,Online PvP
18600,PvP
18600,Single-player
18600,Steam Achievements
18700,Custom Volume Controls
18700,Family Sharing
18700,Keyboard Only Option
18700,Partial Controller Support
18700,Playable without Timed Input
18700,Single-player
18700,Steam Achievements
18700,Stereo Sound
18820,Family Sharing
18820,Multi-player
18820,Partial Controller Support
18820,Single-player
18820,Stats
18820,Steam Achievements
18820,Steam Cloud
18820,Steam Trading Cards
19000,Family Sharing
19000,Single-player
19020,Family Sharing
19020,Multi-player
19020,Partial Controller Support
19020,Single-player
19020,Steam Achievements
19020,Steam Cloud
19030,Family Sharing
19030,Partial Controller Support
19030,Single-player
19030,Steam Achievements
19030,Steam Cloud
19030,Steam Leaderboards
19080,Family Sharing
19080,Single-player
19200,Family Sharing
19200,Single-player
19200,Steam Achievements
19320,Family Sharing
19320,Partial Controller Support
19320,Single-player
19320,Stats
19320,Steam Achievements
19320,Steam Cloud
19320,Steam Leaderboards
19500,Family Sharing
19500,Includes level editor
19500,Partial Controller Support
19500,Single-player
19500,Steam Achievements
19680,Family Sharing
19680,Partial Controller Support
19680,Single-player
19800,Family Sharing
19800,Single-player
19810,Family Sharing
19810,Multi-player
19810,Single-player
19830,Family Sharing
19830,Single-player
19900,Family Sharing
19900,Multi-player
19900,Single-player
19980,Family Sharing
19980,Single-player
20200,Family Sharing
20200,Multi-player
20200,Partial Controller Support
20200,Single-player
20200,Steam Achievements
20500,Family Sharing
20500,Full controller support
20500,Multi-player
20500,Single-player
20500,Steam Achievements
20500,Steam Cloud
20500,Steam Leaderboards
20500,Steam Trading Cards
20530,Family Sharing
20530,Multi-player
20530,Single-player
20530,Steam Cloud
20540,Family Sharing
20540,Multi-player
20540,Single-player
20540,Steam Cloud
20550,Family Sharing
20550,Single-player
20550,Steam Cloud
20700,Family Sharing
20700,Single-player
20700,Steam Achievements
20710,Family Sharing
20710,Single-player
20710,Steam Achievements
20820,Family Sharing
20820,Multi-player
20820,Partial Controller Support
20820,Remote Play Together
20820,Shared/Split Screen
20820,Single-player
20820,Steam Achievements
20820,Steam Cloud
20820,Steam Leaderboards
20900,Adjustable Difficulty
20900,Camera Comfort
20900,Color Alternatives
20900,Custom Volume Controls
20900,Family Sharing
20900,Mouse Only Option
20900,Playable without Timed Input
20900,Save Anytime
20900,Single-player
20900,Steam Cloud
20900,Stereo Sound
20920,Adjustable Difficulty
20920,Camera Comfort
20920,Color Alternatives
20920,Custom Volume Controls
20920,Family Sharing
20920,Partial Controller Support
20920,Playable without Timed Input
20920,Save Anytime
20920,Single-player
20920,Steam Achievements
20920,Steam Cloud
20920,Steam Leaderboards
20920,Steam Trading Cards
20920,Stereo Sound
20920,Surround Sound
21000,Family Sharing
21000,Full controller support
21000,Multi-player
21000,Remote Play Together
21000,Remote Play on Phone
21000,Remote Play on TV
21000,Remote Play on Tablet
21000,Shared/Split Screen
21000,Single-player
21000,Steam Cloud
21010,Family Sharing
21010,Multi-player
21010,Remote Play Together
21010,Shared/Split Screen
21010,Single-player
21030,Co-op
21030,Family Sharing
21030,Multi-player
21030,Partial Controller Support
21030,Remote Play Together
21030,Shared/Split Screen
21030,Shared/Split Screen Co-op
21030,Single-player
21090,Family Sharing
21090,Single-player
21100,Co-op
21100,Family Sharing
21100,Multi-player
21100,Partial Controller Support
21100,Single-player
21100,Steam Achievements
21100,Steam Cloud
21100,Steam Leaderboards
21130,Family Sharing
21130,Full controller support
21130,Multi-player
21130,Remote Play Together
21130,Remote Play on Phone
21130,Remote Play on TV
21130,Remote Play on Tablet
21130,Shared/Split Screen
21130,Single-player
21300,Family Sharing
21300,Single-player
21300,Steam Achievements
21500,Family Sharing
21500,Single-player
21660,Multi-player
21660,Partial Controller Support
21660,PvP
21660,Remote Play Together
21660,Shared/Split Screen PvP
21660,Single-player
21670,Family Sharing
21670,Multi-player
21670,Partial Controller Support
21670,Single-player
21670,Steam Cloud
21680,Family Sharing
21680,Multi-player
21680,Partial Controller Support
21680,Remote Play Together
21680,Remote Play on Phone
21680,Remote Play on Tablet
21680,Shared/Split Screen
21680,Single-player
21690,Co-op
21690,Family Sharing
21690,Full controller support
21690,Multi-player
21690,Single-player
21690,Steam Achievements
21690,Steam Cloud
21690,Steam Leaderboards
21690,Steam Trading Cards
21780,Family Sharing
21780,Single-player
21800,Family Sharing
21800,Multi-player
21800,Single-player
21970,Adjustable Difficulty
21970,Co-op
21970,Full controller support
21970,Multi-player
21970,Online Co-op
21970,Online PvP
21970,Playable without Timed Input
21970,PvP
21970,Save Anytime
21970,Single-player
21970,Stats
21970,Steam Achievements
21970,Steam Cloud
21970,Steam Leaderboards
21970,Stereo Sound
21970,Surround Sound
21970,Valve Anti-Cheat enabled
21980,Family Sharing
21980,Single-player
21980,Steam Cloud
22000,Family Sharing
22000,Single-player
22000,Steam Achievements
22000,Steam Cloud
22000,Steam Trading Cards
22100,Family Sharing
22100,Includes level editor
22100,Single-player
22100,Steam Trading Cards
22120,Captions available
22120,Family Sharing
22120,Single-player
22130,Family Sharing
22130,Multi-player
22130,Single-player
22140,Captions available
22140,Family Sharing
22140,Single-player
22180,Captions available
22180,Family Sharing
22180,Single-player
22200,Family Sharing
22200,Single-player
22200,Steam Achievements
22200,Steam Cloud
22200,Steam Trading Cards
22230,Co-op
22230,Family Sharing
22230,Multi-player
22230,Online PvP
22230,Partial Controller Support
22230,PvP
22230,Shared/Split Screen
22230,Shared/Split Screen PvP
22230,Single-player
22230,Steam Achievements
22230,Steam Cloud
22230,Steam Leaderboards
22230,Steam Trading Cards
22300,Partial Controller Support
22300,Single-player
22310,Family Sharing
22310,Multi-player
22310,Single-player
22310,Steam Achievements
22310,Steam Cloud
22310,Steam Leaderboards
22320,Family Sharing
22320,Single-player
22320,Steam Cloud
22330,Family Sharing
22330,Single-player
22330,Steam Cloud
22340,Family Sharing
22340,Single-player
22350,Co-op
22350,Family Sharing
22350,Multi-player
22350,Single-player
22350,Steam Achievements
22350,Steam Cloud
22350,Steam Leaderboards
22370,Family Sharing
22370,Single-player
22380,Family Sharing
22380,Partial Controller Support
22380,Remote Play on Phone
22380,Remote Play on Tablet
22380,Single-player
22380,Steam Achievements
22380,Steam Leaderboards
22450,Family Sharing
22450,Partial Controller Support
22450,Steam Cloud
22500,Cross-Platform Multiplayer
22500,Family Sharing
22500,LAN PvP
22500,Multi-player
22500,Online PvP
22500,PvP
22500,Remote Play Together
22500,Shared/Split Screen PvP
22500,Single-player
22500,Steam Achievements
22600,Family Sharing
22600,Multi-player
22600,Partial Controller Support
22600,PvP
22600,Remote Play Together
22600,Shared/Split Screen PvP
22600,Single-player
22600,Stats
22600,Steam Achievements
22600,Steam Cloud
22600,Steam Leaderboards
22610,Co-op
22610,Family Sharing
22610,Multi-player
22610,Partial Controller Support
22610,Single-player
22610,Steam Achievements
22650,Co-op
22650,Family Sharing
22650,Multi-player
22650,Partial Controller Support
22650,Single-player
22650,Stats
22650,Steam Achievements
22650,Steam Leaderboards
22670,Co-op
22670,Family Sharing
22670,Multi-player
22670,Partial Controller Support
22670,Single-player
22670,Stats
22670,Steam Achievements
22670,Steam Leaderboards
23150,Family Sharing
23150,Single-player
23150,Steam Achievements
23300,Family Sharing
23300,Single-player
23300,Stereo Sound
23380,#category_playable_at_your_own_pace
23380,Camera Comfort
23380,Custom Volume Controls
23380,Family Sharing
23380,Keyboard Only Option
23380,Mouse Only Option
23380,Playable without Timed Input
23380,Single-player
23380,Stereo Sound
23400,Family Sharing
23400,Single-player
23420,Co-op
23420,Family Sharing
23420,Multi-player
23420,Single-player
23450,Family Sharing
23450,Single-player
23455,Family Sharing
23455,Multi-player
23460,Family Sharing
23460,Single-player
23490,Family Sharing
23490,Single-player
23500,Family Sharing
23500,Multi-player
23500,Steam Cloud
23530,Co-op
23530,Family Sharing
23530,Full controller support
23530,Multi-player
23530,Remote Play on TV
23530,Single-player
23530,Stats
23530,Steam Achievements
23530,Steam Cloud
23600,Family Sharing
23600,Single-player
23700,Family Sharing
23700,Multi-player
23700,Steam Cloud
24010,Family Sharing
24010,Full controller support
24010,In-App Purchases
24010,Single-player
24010,Steam Achievements
24010,Steam Cloud
24010,Steam Leaderboards
24010,Steam Trading Cards
24010,Steam Workshop
24200,Co-op
24200,Cross-Platform Multiplayer
24200,MMO
24200,Multi-player
24200,Online Co-op
24200,Online PvP
24200,Partial Controller Support
24200,PvP
24200,Steam Achievements
24240,Adjustable Difficulty
24240,Co-op
24240,Custom Volume Controls
24240,Family Sharing
24240,Multi-player
24240,Online Co-op
24240,Single-player
24240,Stats
24240,Steam Achievements
24240,Steam Cloud
24240,Steam Trading Cards
24240,Stereo Sound
24400,Family Sharing
24400,Multi-player
24400,Single-player
24410,Family Sharing
24410,Multi-player
24410,Single-player
24420,Family Sharing
24420,Partial Controller Support
24420,Single-player
24420,Steam Achievements
24460,Family Sharing
24460,Single-player
24480,Family Sharing
24480,Single-player
24480,Steam Achievements
24720,Family Sharing
24720,Single-player
24780,Family Sharing
24780,Single-player
24790,Family Sharing
24790,Includes level editor
24790,Single-player
24790,Steam Cloud
24790,Steam Workshop
24800,Family Sharing
24800,Includes level editor
24800,Single-player
24800,Steam Cloud
24800,Steam Workshop
24810,Family Sharing
24810,Includes level editor
24810,Multi-player
24810,Single-player
24810,Steam Cloud
24810,Steam Workshop
24880,Family Sharing
24880,Single-player
25000,Co-op
25000,Family Sharing
25000,Includes level editor
25000,Multi-player
25000,Partial Controller Support
25000,PvP
25000,Remote Play Together
25000,Shared/Split Screen Co-op
25000,Shared/Split Screen PvP
25000,Single-player
25000,Steam Workshop
25010,Adjustable Difficulty
25010,Camera Comfort
25010,Custom Volume Controls
25010,Family Sharing
25010,Single-player
25010,Stereo Sound
25010,Surround Sound
25500,Family Sharing
25500,Multi-player
25500,Single-player
25600,Family Sharing
25600,Single-player
25620,Family Sharing
25620,Single-player
25700,Co-op
25700,Cross-Platform Multiplayer
25700,Family Sharing
25700,Multi-player
25700,Online Co-op
25700,Online PvP
25700,Partial Controller Support
25700,PvP
25700,Single-player
25700,Steam Achievements
25700,Steam Cloud
25700,Steam Leaderboards
25800,Family Sharing
25800,Multi-player
25800,Single-player
25800,Steam Trading Cards
25808,Family Sharing
25808,Multi-player
25808,Single-player
25830,Family Sharing
25830,Multi-player
25830,Single-player
25850,Family Sharing
25850,Includes level editor
25850,Multi-player
25850,Single-player
25850,Steam Cloud
25890,Co-op
25890,Family Sharing
25890,Multi-player
25890,Single-player
25890,Steam Trading Cards
25900,Family Sharing
25900,Single-player
25900,Steam Achievements
25900,Steam Cloud
25900,Steam Trading Cards
25900,Steam Workshop
25910,Family Sharing
25910,Multi-player
25910,Single-player
25930,Family Sharing
25930,Multi-player
25930,Single-player
25980,Family Sharing
25980,Single-player
25990,Family Sharing
25990,Multi-player
25990,Single-player
26000,Family Sharing
26000,Single-player
26000,Steam Achievements
26300,Family Sharing
26300,Multi-player
26300,Single-player
26500,Family Sharing
26500,Single-player
26500,Steam Achievements
26800,Family Sharing
26800,Full controller support
26800,Remote Play on TV
26800,Single-player
26800,Steam Achievements
26800,Steam Cloud
26900,Family Sharing
26900,Single-player
27000,Family Sharing
27000,Single-player
27000,Steam Trading Cards
27020,Family Sharing
27020,Single-player
27050,Family Sharing
27050,Single-player
27200,Co-op
27200,Family Sharing
27200,Multi-player
27200,Single-player
27400,Family Sharing
27400,Single-player
27800,Family Sharing
27800,Single-player
27810,Family Sharing
27810,Partial Controller Support
27810,Single-player
27900,Family Sharing
27900,Single-player
27920,Family Sharing
27920,Multi-player
27920,Partial Controller Support
27920,Single-player
27920,Stats
27920,Steam Achievements
27920,Steam Leaderboards
27940,Co-op
27940,Family Sharing
27940,Multi-player
27940,Online Co-op
27940,Partial Controller Support
27940,Remote Play Together
27940,Shared/Split Screen
27940,Shared/Split Screen Co-op
27940,Single-player
27940,Steam Achievements
27940,Steam Cloud
27940,Steam Leaderboards
28000,Co-op
28000,Family Sharing
28000,Multi-player
28000,Single-player
28000,Steam Achievements
28000,Steam Cloud
28000,Steam Leaderboards
29120,Family Sharing
29120,Single-player
29130,Family Sharing
29130,Single-player
29160,Family Sharing
29160,Single-player
29180,Family Sharing
29180,Single-player
29180,Steam Achievements
29720,Adjustable Text Size
29720,Co-op
29720,Custom Volume Controls
29720,Family Sharing
29720,Full controller support
29720,In-App Purchases
29720,Keyboard Only Option
29720,MMO
29720,Multi-player
29720,Online Co-op
29720,Online PvP
29720,Playable without Timed Input
29720,PvP
29720,Single-player
29720,Stereo Sound
29720,Subtitle Options
29720,Surround Sound
29800,Family Sharing
29800,Partial Controller Support
29800,Single-player
29800,Steam Trading Cards
29900,Family Sharing
29900,Multi-player
29900,Partial Controller Support
29900,Single-player
31100,Family Sharing
31100,Single-player
31170,Family Sharing
31170,Single-player
31270,Family Sharing
31270,Single-player
31300,Family Sharing
31300,Single-player
31700,Co-op
31700,Family Sharing
31700,Multi-player
31700,Single-player
31700,Steam Achievements
31800,Family Sharing
31800,Single-player
31810,Family Sharing
31810,Single-player
31820,Family Sharing
31820,Single-player
31830,Family Sharing
31830,Single-player
31840,Family Sharing
31840,Single-player
31850,Family Sharing
31850,Single-player
31860,Family Sharing
31860,Single-player
31870,Family Sharing
31870,Single-player
31880,Family Sharing
31880,Single-player
31890,Family Sharing
31890,Single-player
31900,Family Sharing
31900,Single-player
31910,Family Sharing
31910,Single-player
31920,Family Sharing
31920,Single-player
31930,Family Sharing
31930,Single-player
32000,Family Sharing
32000,Single-player
32110,Family Sharing
32110,Single-player
32120,Family Sharing
32120,Single-player
32140,Family Sharing
32140,Single-player
32150,Family Sharing
32150,Single-player
32150,Stats
32150,Steam Achievements
32150,Steam Cloud
32150,Steam Leaderboards
32160,Family Sharing
32160,Multi-player
32160,Single-player
32160,Stats
32160,Steam Achievements
32160,Steam Cloud
32160,Steam Leaderboards
32200,Family Sharing
32200,Multi-player
32200,Single-player
32200,Steam Achievements
32310,Family Sharing
32310,Single-player
32330,Co-op
32330,Family Sharing
32330,Full controller support
32330,Multi-player
32330,Remote Play Together
32330,Remote Play on Phone
32330,Remote Play on Tablet
32330,Shared/Split Screen
32330,Shared/Split Screen Co-op
32330,Single-player
32330,Steam Cloud
32340,Family Sharing
32340,Single-player
32340,Steam Cloud
32350,Family Sharing
32350,Partial Controller Support
32350,Single-player
32350,Steam Cloud
32360,Family Sharing
32360,Full controller support
32360,Remote Play on Phone
32360,Remote Play on TV
32360,Remote Play on Tablet
32360,Single-player
32360,Steam Cloud
32370,Family Sharing
32370,Single-player
32370,Steam Cloud
32380,Family Sharing
32380,Multi-player
32380,Partial Controller Support
32380,PvP
32380,Remote Play Together
32380,Shared/Split Screen PvP
32380,Single-player
32380,Steam Cloud
32390,Family Sharing
32390,Multi-player
32390,Partial Controller Support
32390,Single-player
32390,Steam Cloud
32430,Family Sharing
32430,Partial Controller Support
32430,Single-player
32430,Steam Cloud
32440,Family Sharing
32440,Full controller support
32440,Multi-player
32440,Remote Play Together
32440,Remote Play on Phone
32440,Remote Play on TV
32440,Remote Play on Tablet
32440,Shared/Split Screen
32440,Single-player
32440,Steam Cloud
32450,Family Sharing
32450,Full controller support
32450,Multi-player
32450,Remote Play Together
32450,Remote Play on Phone
32450,Remote Play on Tablet
32450,Shared/Split Screen
32450,Single-player
32450,Steam Cloud
32460,Family Sharing
32460,Full controller support
32460,Remote Play on Phone
32460,Remote Play on TV
32460,Remote Play on Tablet
32460,Single-player
32460,Steam Achievements
32460,Steam Cloud
32470,Family Sharing
32470,Multi-player
32470,Online PvP
32470,PvP
32470,Single-player
32470,Steam Cloud
32500,Family Sharing
32500,Partial Controller Support
32500,Single-player
32500,Steam Cloud
32510,Co-op
32510,Family Sharing
32510,Full controller support
32510,Multi-player
32510,Remote Play Together
32510,Remote Play on Phone
32510,Remote Play on Tablet
32510,Shared/Split Screen
32510,Shared/Split Screen Co-op
32510,Single-player
32510,Steam Cloud
32610,Family Sharing
32610,Multi-player
32610,Single-player
32620,Family Sharing
32620,Single-player
32630,Family Sharing
32630,Multi-player
32630,Single-player
32640,Family Sharing
32640,Multi-player
32640,Single-player
32650,Family Sharing
32650,Multi-player
32650,Single-player
32660,Family Sharing
32660,Multi-player
32660,Single-player
32680,Family Sharing
32680,Multi-player
32680,Single-player
32710,Co-op
32710,Family Sharing
32710,Multi-player
32710,Single-player
32720,Family Sharing
32720,Multi-player
32720,Single-player
32730,Family Sharing
32730,Multi-player
32730,Single-player
32740,Family Sharing
32740,Multi-player
32740,Single-player
32750,Family Sharing
32750,Multi-player
32750,Single-player
32760,Family Sharing
32760,Multi-player
32760,Single-player
32770,Co-op
32770,Family Sharing
32770,Multi-player
32770,Single-player
32900,Family Sharing
32900,Single-player
33100,Family Sharing
33100,Partial Controller Support
33100,Single-player
33100,Steam Achievements
33100,Steam Cloud
33100,Steam Leaderboards
33100,Steam Trading Cards
33110,Family Sharing
33110,Single-player
33110,Steam Trading Cards
33120,Family Sharing
33120,Single-player
33120,Steam Trading Cards
33130,Family Sharing
33130,Single-player
33180,Family Sharing
33180,Single-player
33220,Co-op
33220,Multi-player
33220,Partial Controller Support
33220,Single-player
33230,Single-player
33320,Single-player
33390,Family Sharing
33390,Partial Controller Support
33390,Single-player
33390,Stats
33390,Steam Achievements
33390,Steam Cloud
33390,Steam Leaderboards
33460,Single-player
33520,Family Sharing
33520,Single-player
33550,Family Sharing
33550,Multi-player
33550,Single-player
33570,Family Sharing
33570,Single-player
33580,Family Sharing
33580,Single-player
33600,Family Sharing
33600,Single-player
33600,Steam Achievements
33600,Steam Cloud
33610,Family Sharing
33610,Partial Controller Support
33610,Remote Play on Phone
33610,Remote Play on Tablet
33610,Single-player
33620,Family Sharing
33620,Multi-player
33620,Single-player
33650,Family Sharing
33650,Single-player
33650,Steam Achievements
33650,Steam Leaderboards
33660,Family Sharing
33660,Multi-player
33660,Single-player
33660,Steam Achievements
33660,Steam Leaderboards
33670,Family Sharing
33670,Multi-player
33670,Single-player
33670,Steam Achievements
33680,Family Sharing
33680,Partial Controller Support
33680,Single-player
33680,Steam Achievements
33680,Steam Leaderboards
33680,Steam Trading Cards
33700,Family Sharing
33700,Single-player
33710,Family Sharing
33710,Single-player
33720,Family Sharing
33720,Single-player
33730,Family Sharing
33730,Single-player
33750,Family Sharing
33750,Single-player
33760,Family Sharing
33760,Single-player
33770,Family Sharing
33770,Single-player
33790,Family Sharing
33790,Single-player
33900,Captions available
33900,Co-op
33900,Family Sharing
33900,Includes level editor
33900,Multi-player
33900,Partial Controller Support
33900,Single-player
33930,Captions available
33930,Co-op
