appid,categories
730,In-App Purchases
730,Multi-player
730,Playable without Timed Input
730,Remote Play on Phone
730,Remote Play on TV
730,Remote Play on Tablet
730,Stats
730,Steam Timeline
730,Steam Trading Cards
730,Steam Workshop
730,Stereo Sound
730,Surround Sound
730,Valve Anti-Cheat enabled
1002,Family Sharing
1002,Multi-player
1002,Single-player
1200,Family Sharing
1200,Multi-player
1200,Steam Achievements
1200,Valve Anti-Cheat enabled
1250,Co-op
1250,Cross-Platform Multiplayer
1250,Family Sharing
1250,Includes level editor
1250,Multi-player
1250,Single-player
1250,Stats
1250,Steam Achievements
1250,Steam Trading Cards
1250,Steam Workshop
1250,Valve Anti-Cheat enabled
1300,Family Sharing
1300,Single-player
1300,Stats
1313,Family Sharing
1313,LAN PvP
1313,Multi-player
1313,Online PvP
1313,PvP
1313,Single-player
1500,Family Sharing
1500,Full controller support
1500,Includes level editor
1500,Single-player
1500,Steam Cloud
1510,Family Sharing
1510,Single-player
1520,Co-op
1520,Cross-Platform Multiplayer
1520,Family Sharing
1520,LAN Co-op
1520,LAN PvP
1520,Multi-player
1520,Online Co-op
1520,Online PvP
1520,PvP
1520,Single-player
1520,Steam Achievements
1530,Co-op
1530,Family Sharing
1530,LAN Co-op
1530,LAN PvP
1530,Multi-player
1530,Online Co-op
1530,Online PvP
1530,PvP
1530,Single-player
1530,Steam Achievements
1600,Family Sharing
1600,Multi-player
1600,Single-player
1610,Family Sharing
1610,Multi-player
1610,Single-player
1620,Family Sharing
1620,Single-player
1630,Co-op
1630,Family Sharing
1630,Multi-player
1630,Single-player
1640,Co-op
1640,Family Sharing
1640,Multi-player
1640,Single-player
1670,Family Sharing
1670,Multi-player
1670,Single-player
1690,Family Sharing
1690,Multi-player
1690,Single-player
1700,Family Sharing
1700,Single-player
1900,Co-op
1900,Cross-Platform Multiplayer
1900,Family Sharing
1900,Multi-player
1900,Single-player
1900,Steam Trading Cards
1930,Co-op
1930,Cross-Platform Multiplayer
1930,Family Sharing
1930,Multi-player
1930,Online Co-op
1930,Online PvP
1930,Partial Controller Support
1930,PvP
1930,Single-player
1930,Steam Trading Cards
2100,Family Sharing
2100,Multi-player
2100,Single-player
2100,Valve Anti-Cheat enabled
2200,Family Sharing
2200,LAN PvP
2200,Multi-player
2200,Online PvP
2200,PvP
2200,Single-player
2200,Steam Cloud
2210,Family Sharing
2210,Multi-player
2210,Single-player
2210,Steam Cloud
2270,Adjustable Text Size
2270,Camera Comfort
2270,Color Alternatives
2270,Family Sharing
2270,Keyboard Only Option
2270,Save Anytime
2270,Single-player
2270,Steam Cloud
2270,Stereo Sound
2280,Adjustable Difficulty
2280,Camera Comfort
2280,Co-op
2280,Cross-Platform Multiplayer
2280,Custom Volume Controls
2280,Family Sharing
2280,Full controller support
2280,Keyboard Only Option
2280,LAN Co-op
2280,LAN PvP
2280,Multi-player
2280,Online Co-op
2280,Online PvP
2280,PvP
2280,Remote Play Together
2280,Shared/Split Screen
2280,Shared/Split Screen Co-op
2280,Shared/Split Screen PvP
2280,Single-player
2280,Steam Cloud
2280,Stereo Sound
2310,Co-op
2310,Cross-Platform Multiplayer
2310,Family Sharing
2310,Full controller support
2310,Multi-player
2310,Online Co-op
2310,Online PvP
2310,PvP
2310,Remote Play Together
2310,Shared/Split Screen
2310,Shared/Split Screen Co-op
2310,Shared/Split Screen PvP
2310,Single-player
2310,Steam Cloud
2320,Camera Comfort
2320,Co-op
2320,Cross-Platform Multiplayer
2320,Family Sharing
2320,Full controller support
2320,Multi-player
2320,Online Co-op
2320,Online PvP
2320,Playable without Timed Input
2320,PvP
2320,Remote Play Together
2320,Save Anytime
2320,Shared/Split Screen
2320,Shared/Split Screen Co-op
2320,Shared/Split Screen PvP
2320,Single-player
2320,Steam Cloud
2320,Steam Trading Cards
2320,Stereo Sound
2320,Surround Sound
2400,Family Sharing
2400,LAN PvP
2400,Multi-player
2400,Online PvP
2400,PvP
2400,Single-player
2400,Steam Trading Cards
2400,Valve Anti-Cheat enabled
2420,Family Sharing
2420,Single-player
2450,Family Sharing
2450,Multi-player
2450,Single-player
2450,Steam Achievements
2500,Family Sharing
2500,Multi-player
2500,Remote Play Together
2500,Shared/Split Screen
2500,Single-player
2500,Steam Trading Cards
2520,Family Sharing
2520,Single-player
2540,Co-op
2540,Family Sharing
2540,Multi-player
2540,Single-player
2590,Family Sharing
2590,Single-player
2600,Family Sharing
2600,Single-player
2610,Family Sharing
2610,Single-player
2620,Family Sharing
2620,Multi-player
2620,Single-player
2630,Family Sharing
2630,Multi-player
2630,Single-player
2640,Family Sharing
2640,Multi-player
2640,Single-player
2700,Family Sharing
2700,Single-player
2710,Family Sharing
2710,Multi-player
2710,Single-player
2720,Co-op
2720,Family Sharing
2720,Includes level editor
2720,LAN Co-op
2720,LAN PvP
2720,Multi-player
2720,Online Co-op
2720,Online PvP
2720,PvP
2800,Captions available
2800,Family Sharing
2800,Single-player
2800,Steam Cloud
2810,Captions available
2810,Family Sharing
2810,Single-player
2810,Steam Cloud
2820,Captions available
2820,Family Sharing
2820,Full controller support
2820,Single-player
2820,Steam Achievements
2820,Steam Cloud
2840,Family Sharing
2840,Single-player
2840,Steam Cloud
2850,Family Sharing
2850,Single-player
2850,Steam Cloud
2870,Captions available
2870,Family Sharing
2870,Full controller support
2870,Single-player
2870,Steam Achievements
2870,Steam Cloud
2870,Steam Trading Cards
2870,Steam Workshop
2900,Family Sharing
2900,Multi-player
2900,Single-player
2910,Family Sharing
2910,Single-player
2920,Co-op
2920,Family Sharing
2920,Includes level editor
2920,Multi-player
2920,Single-player
2990,DualSense Controller Support
2990,DualShock Controller Support
2990,Family Sharing
2990,Full controller support
2990,LAN PvP
2990,Multi-player
2990,Online PvP
2990,PvP
2990,Single-player
2990,Steam Achievements
2990,Steam Cloud
2990,Steam Trading Cards
2990,Steam Workshop
3010,Family Sharing
3010,Multi-player
3010,Single-player
3020,Family Sharing
3020,Multi-player
3020,Single-player
3020,Steam Trading Cards
3050,Family Sharing
3050,Multi-player
3050,Single-player
3130,Co-op
3130,Family Sharing
3130,LAN Co-op
3130,LAN PvP
3130,Multi-player
3130,PvP
3130,Single-player
3130,Steam Cloud
3130,Steam Trading Cards
3170,Family Sharing
3170,Single-player
3170,Steam Achievements
3170,Steam Cloud
3170,Steam Workshop
3230,Family Sharing
3230,Multi-player
3230,Single-player
3260,Family Sharing
3260,Single-player
3270,Family Sharing
3270,Multi-player
3270,Single-player
3300,Family Sharing
3300,Remote Play on Phone
3300,Remote Play on Tablet
3300,Single-player
3310,Family Sharing
3310,Single-player
3320,Family Sharing
3320,Single-player
3330,Family Sharing
3330,Single-player
3340,Family Sharing
3340,Single-player
3350,Family Sharing
3350,Remote Play on Phone
3350,Remote Play on Tablet
3350,Single-player
3360,Family Sharing
3360,Single-player
3380,Family Sharing
3380,Single-player
3390,Family Sharing
3390,Single-player
3400,Family Sharing
3400,Single-player
3410,Family Sharing
3410,Single-player
3420,Family Sharing
3420,Single-player
3430,Family Sharing
3430,Single-player
3450,Family Sharing
3450,Single-player
3460,Family Sharing
3460,Single-player
3480,Family Sharing
3480,Remote Play on Phone
3480,Remote Play on Tablet
3480,Single-player
3483,Family Sharing
3483,Remote Play on Phone
3483,Remote Play on Tablet
3483,Single-player
3490,Family Sharing
3490,Single-player
3500,Family Sharing
3500,Single-player
3510,Family Sharing
3510,Single-player
3520,Family Sharing
3520,Single-player
3530,Family Sharing
3530,Single-player
3540,Family Sharing
3540,Remote Play on Phone
3540,Remote Play on Tablet
3540,Single-player
3560,Family Sharing
3560,Single-player
3570,Family Sharing
3570,Single-player
3580,Family Sharing
3580,Single-player
3590,Family Sharing
3590,Remote Play on Phone
3590,Remote Play on Tablet
3590,Single-player
3590,Steam Achievements
3600,Family Sharing
3600,Single-player
3610,Family Sharing
3610,Single-player
3620,Family Sharing
3620,Single-player
3620,Stats
3620,Steam Achievements
3700,Family Sharing
3700,Single-player
3700,Steam Trading Cards
3710,Co-op
3710,Family Sharing
3710,Multi-player
3710,Single-player
3720,Family Sharing
3720,Single-player
3730,Family Sharing
